,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,14.8,78,99,12.85,PT,1619230113
1,Kidal,18.4411,1.4078,28.9,8,0,4.09,ML,1619230114
2,Jvara,41.5251,44.3472,12.0,87,90,2.06,GE,1619230114
3,Asău,46.4333,26.4,2.22,65,63,1.69,RO,1619230012
4,Yellowknife,62.456,-114.3525,-8.89,57,75,4.12,CA,1619230104
5,Rikitea,-23.1203,-134.9692,26.13,72,100,7.29,PF,1619229932
6,George Town,5.4112,100.3354,26.0,94,40,1.54,MY,1619230115
7,Balagansk,54.0103,103.0544,2.88,53,100,4.44,RU,1619230116
8,Si Sa Ket,14.8333,104.3333,31.67,79,54,2.34,TH,1619230116
9,Tasiilaq,65.6145,-37.6368,3.0,60,75,9.26,GL,1619229877
10,Busselton,-33.65,115.3333,21.67,59,31,2.39,AU,1619230117
11,Hermanus,-34.4187,19.2345,12.78,90,95,0.45,ZA,1619230117
12,Barra do Garças,-15.89,-52.2567,19.96,62,5,0.37,BR,1619230118
13,Ushuaia,-54.8,-68.3,6.0,93,75,6.69,AR,1619229937
14,Richards Bay,-28.783,32.0377,18.53,68,93,6.3,ZA,1619230118
15,Port Elizabeth,-33.918,25.5701,14.0,94,0,2.57,ZA,1619230094
16,Pangnirtung,66.1451,-65.7125,-0.16,88,100,2.87,CA,1619230119
17,Faya,18.3851,42.4509,17.0,51,0,0.85,SA,1619230120
18,Mataura,-46.1927,168.8643,9.44,89,99,0.45,NZ,1619229943
19,Buin,-33.7333,-70.75,13.89,76,75,1.54,CL,1619230073
20,Upernavik,72.7868,-56.1549,-2.25,86,100,2.23,GL,1619229933
21,Chui,-33.6971,-53.4616,18.49,88,3,4.35,UY,1619230035
22,São Filipe,14.8961,-24.4956,21.7,75,7,3.4,CV,1619230121
23,Atuona,-9.8,-139.0333,26.88,78,23,10.66,PF,1619229948
24,Christchurch,-43.5333,172.6333,20.0,59,35,4.63,NZ,1619230011
25,Naze,28.3667,129.4833,21.0,73,75,11.32,JP,1619230122
